type,last_updated,severity,description,created_by,attachment_path
issue,2026-03-31 21:31:14,low,"for room editor pannel make the height min and max values for square use the min max sliders propperly make sure they both have reasonable min and max values simalr max value to the circle values so the max and the min ould resut in simlar sized objects.
",,
issue,2026-03-31 21:31:14,low,"[PENDING APPROVAL] make sure that all text boxes we use in dev mode it the custom textbox we designed in widgets with the select to edit and scroll wheele functionality. make sure that all usages of this textbox in dev mode consume mouse input and scroll input propperly. Implemented: Updated DMTextBox::handle_event() in widgets.cpp to properly consume mouse motion, mouse button clicks, and scroll wheel events when inside the textbox bounds. Added scroll wheel event handling to block propagation. Added ESC key to exit edit mode.",,
issue,2026-03-31 21:31:44,low,"[PENDING APPROVAL] dont change the camera position when the user enters dev mode.  keep the camera right where it was when entering dev mode. Fixed: Changed camera restoration logic in DevControls::set_enabled(true) to always set a focus override with the preserved screen center position. This prevents update_camera_height() from centering the camera on the room on subsequent frames.",,
issue,2026-03-31 21:31:06,low,"in dev mode, make sure we are updating current room apprpriatly. when we open the room config pannel make sure we are loading the correct room (the current room) make sure that we can only select current rooms assets in room editor (but also boundary and map wide assets when in that selection mode )",,
modification,2026-03-31 21:26:08,medium,depth effects textures need to be applied to the dynamically spawned assets. currently they are not. same method of calculation and rendering for the foreground background textures on the dynamically spawned assets ,,
issue,2026-03-31 21:19:20,low,in normal game mode the transition from camera settings in one room to another room needs to be way more smooth,,
issue,2026-03-31 18:55:22,medium,"Trail generation performance is slow and produces uniform-width trails. In ENGINE/runtime/gameplay/map_generation/ find the trail generation logic and optimize it. Instead of uniform width implement variable width trails by adding min_width and max_width parameters to trail room configuration so trails appear more organic and natural. The trail type is identified by room->type == ""trail"" (checked via vibble::strings::to_lower_copy). Width variation should be applied during trail mesh/area generation. Key files: ENGINE/runtime/gameplay/map_generation/room.hpp (Room class trail detection), ENGINE/runtime/gameplay/map_generation/ (trail/room generation code).",,
issue,2026-03-31 18:53:09,medium,"In ENGINE/runtime/animation/get_best_path.cpp and ENGINE/runtime/animation/movement_plan_executor.cpp add collision overlap prevention logic to the auto-move and pathfinding system for NPCs and enemies. When computing movement paths check for potential overlaps with other NPCs/enemies in the target area and either choose an alternate path or adjust movement to prevent stacking/clipping. The current GetBestPath() and MovementPlanExecutor classes do not account for dynamic NPC positions during path planning. Key files: ENGINE/runtime/animation/get_best_path.cpp (GetBestPath function), ENGINE/runtime/animation/movement_plan_executor.cpp (MovementPlanExecutor class), ENGINE/runtime/gameplay/world/ (world entity management).",,
modification,2026-03-31 18:53:18,medium,"Add a Create Room button to the dev mode footer in ENGINE/editor/devtools/dev_controls.cpp. For the Layers panel in dev mode replace the current layers UI with the same RoomConfigurator side panel (ENGINE/editor/devtools/config/room_config/room_configurator.cpp) used in room editor mode. This provides a consistent room editing experience between dev mode and room editor. The RoomConfigurator class already handles room geometry camera spawn groups and tags - integrate it into the dev mode layers panel. Key files: ENGINE/editor/devtools/dev_controls.cpp (dev mode UI DevControls class), ENGINE/editor/devtools/config/room_config/room_configurator.cpp (RoomConfigurator class).",,
issue,2026-03-31 16:36:55,high,"In ENGINE/runtime/assets/asset/Asset.hpp and ENGINE/runtime/utils/utils/AnchorPointResolver.cpp fix child asset anchor point placement with movement data. Child assets should first be placed at their parent's anchor point (current behavior) then if the child asset has movement data defined in its AnimationFrame::movement array apply the dx dy dz movement offsets relative to the calculated anchor point position. The final spawn position = anchor_point_world_pos + movement_delta. This ensures child assets with animation movement correctly offset from their parent anchor spawn location while maintaining the existing child asset spawning pipeline. Key files: ENGINE/runtime/assets/asset/Asset.hpp (Asset class child asset handling), ENGINE/runtime/utils/utils/AnchorPointResolver.cpp (anchor_points::resolve_anchor_point()), ENGINE/runtime/assets/asset/anchor_point.hpp (DisplacedAssetAnchorPoint struct).",,
modification,2026-03-31 18:54:09,low,"[PENDING APPROVAL] Add position jitter (small random offset) for map-wide assets in ENGINE/runtime/. Map-wide assets are identified by the inherits_map_assets flag in Room configuration and are placed across the map during room generation. The jitter should be a configurable small random x/z offset applied when these assets are spawned to break up uniform grid patterns and create more natural-looking asset distribution. This should NOT affect room-specific asset placement only map-wide inherited assets. Implemented: Added position_jitter_px to MapGridSettings struct, added jitter serialization to map_grid_settings.cpp, applied jitter in spawn_map_wide() in asset_spawner.cpp, added position jitter stepper widget to CandidateListPanelImpl in map_assets_modals.cpp for UI editing. Key files: ENGINE/runtime/gameplay/map_generation/room.hpp (Room::inherits_map_assets_), ENGINE/runtime/assets/asset/Asset.hpp (asset spawning), ENGINE/runtime/core/ (map asset loading).",,
